recipe name,ingredient number,quantity,unit,descriptor,name,optional,category
Aglio E Olio,1,0.25,cups,Extra-Virgin,Olive Oil,No,Aisle 7: Condiments & Baking
Aglio E Olio,2,12,cloves,Large,Garlic,No,Produce Section
Aglio E Olio,3,,,,Kosher Salt,No,Aisle 7: Condiments & Baking
Aglio E Olio,4,0.5,teaspoons,Dried,Red Pepper Flakes,No,Aisle 7: Condiments & Baking
Aglio E Olio,5,12,sprigs,Flat-Leaf,Parsley,No,Produce Section
Aglio E Olio,6,1,juice of,Large,Lemon,No,Produce Section
Aglio E Olio,7,1,pounds,,Spaghetti,No,"Aisle 8: Canned, Dry, Sauces"
Aglio E Olio,8,1,blocks,Small,Pecorino Cheese,No,Deli
Beef Tenderloin Au Poivre,1,4,,1½-inch-thick beef,Tenderloin Steaks,No,Meat Section
Beef Tenderloin Au Poivre,2,,,,Kosher Salt,No,Aisle 7: Condiments & Baking
Beef Tenderloin Au Poivre,3,2,tablespoons,Coarsley Cracked,Black Pepper,No,Aisle 7: Condiments & Baking
Beef Tenderloin Au Poivre,4,2,tablespoons,,Canola Oil,No,Aisle 7: Condiments & Baking
Beef Tenderloin Au Poivre,5,2,cloves,Large,Garlic,No,Produce Section
Beef Tenderloin Au Poivre,6,1,tablespoons,,Dijon Mustard,No,Aisle 7: Condiments & Baking
Beef Tenderloin Au Poivre,7,1,tablespoons,,Worcestershire Sauce,No,Aisle 7: Condiments & Baking
Beef Tenderloin Au Poivre,8,1,cups,,Beef Stock,No,Aisle 4: Soup
Beef Tenderloin Au Poivre,9,,,"Maldon, Flaky",Sea Salt,No,Aisle 7: Condiments & Baking
Braised Short Ribs,1,.25,cups,,Canola Oil,No,Aisle 7: Condiments & Baking
Braised Short Ribs,2,2,pounds,"Boneless, Beef",Short Ribs,No,Meat Section
Braised Short Ribs,3,,,,Kosher Salt,No,Aisle 7: Condiments & Baking
Braised Short Ribs,4,2,cups,Dry,Red Wine,No,Alcohol Section
Braised Short Ribs,5,2,cups,,Pearl Onions,No,Produce Section
Braised Short Ribs,6,6,cloves,Large,Garlic,No,Produce Section
Braised Short Ribs,7,4,,Medium,Carrots,No,Produce Section
Braised Short Ribs,8,4,cups,,Beef Stock,No,Aisle 4: Soup
Braised Short Ribs,9,1,tablespoons,,Red Wine Vinegar,No,Aisle 7: Condiments & Baking
Braised Short Ribs,10,1,tablespoons,,Dijon Mustard,No,Aisle 7: Condiments & Baking
Classic Carbonara,1,6,ounces,,Pancetta,No,Deli
Classic Carbonara,2,,,,Kosher Salt,No,Aisle 7: Condiments & Baking
Classic Carbonara,3,1,pounds,,Spaghetti,No,"Aisle 8: Canned, Dry, Sauces"
Classic Carbonara,4,2,,Large,Eggs,No,Dairy Section
Classic Carbonara,5,2,yolks,Large,Eggs,No,Dairy Section
Classic Carbonara,6,1,cups,,Pecorino Cheese,No,Deli
Classic Carbonara,7,,,,Black Pepper,No,Aisle 7: Condiments & Baking
Classic Carbonara,8,2,teaspoons,,Red Wine Vinegar,No,Aisle 7: Condiments & Baking
Cast-iron Paprika Chicken,1,2,,"boneless, skin-on",Chicken Breasts/Thighs,No,Meat Section
Cast-iron Paprika Chicken,2,,,,Kosher Salt,No,Aisle 7: Condiments & Baking
Cast-iron Paprika Chicken,3,.5,teaspoons,"Sweet, Smoky, or Hot",Paprika,No,Aisle 7: Condiments & Baking
Cast-iron Paprika Chicken,4,2,tablespoons,Extra-Virgin,Olive Oil,No,Aisle 7: Condiments & Baking
Cast-iron Paprika Chicken,5,2,cloves,Large,Garlic,No,Produce Section
Cast-iron Paprika Chicken,6,1,,Small,Yellow Onion,No,Produce Section
Cast-iron Paprika Chicken,7,.5,pounds,,White Button Mushrooms,No,Produce Section
Cast-iron Paprika Chicken,8,.5,cups,Dry,White Wine,No,Alcohol Section
Cast-iron Paprika Chicken,9,1,zest of,Large,Lemon,No,Produce Section
Dark Chocolate Cookies,1,3,tablespoons,,Unsalted Butter,No,Dairy Section
Dark Chocolate Cookies,2,2.5,ounces,,Semisweet Chocolate,No,Aisle 7: Condiments & Baking
Dark Chocolate Cookies,3,1.5,ounces,,Unsweetened Chocolate,No,Aisle 7: Condiments & Baking
Dark Chocolate Cookies,4,1,,Large,Eggs,No,Dairy Section
Dark Chocolate Cookies,5,1,cups,,Sugar,No,Aisle 7: Condiments & Baking
Dark Chocolate Cookies,6,1,teaspoons,,Vanilla Extract,No,Aisle 7: Condiments & Baking
Dark Chocolate Cookies,7,.25,cups,,All-Purpose Flour,No,Aisle 7: Condiments & Baking
Dark Chocolate Cookies,8,.5,teaspoons,,Baking Powder,No,Aisle 7: Condiments & Baking
Dark Chocolate Cookies,9,.33,cups,Dutch-processed,Cocoa Powder,No,Aisle 7: Condiments & Baking
Dark Chocolate Cookies,10,1,teaspoons,,Kosher Salt,No,Aisle 7: Condiments & Baking
Eggless Chocolate Mousse,1,2,cups,,Heavy Cream,No,Dairy Section
